,state,year,c_ce_i,c_ce_i_r,total_current_assets,current_liabilities,noncurrent_liabilities,unrestricted_net_assets,restricted_net_assets,total_net_assets,total_assets,total_liabilities,total_taxes,total_revenue,total_expenses,noncurrent_liability,change_in_net_assets,population,uaal_pension_(risk-free),uaal_opeb,primary_gov_debt,personal_income,1.cash_ratio,2.quick_ratio,3.current_ratio,4.op_ratio,5._surplus_percap,6.net_asst_ratio,7.long_term_liab,8.lt_percapita,9.tax_income_ratio,10.rev_income_ratio,11.exp_income_ratio,12._pension_income_ratio,13._opeb_income_ratio,cashrank,lrrank,budgetrank,servicelvlrank,trustrank,overallrank,%_working_pop_age_(15-64),est_working_pop,person_income_per_capita
532,Minnesota,2016,14256196,18397345,18497554,6152163,13569198,-5027144,7754326,16665277,37690838,19721361,23845667000,39855716000,38129432000,13569198000,1726284000,5519952,1.26E+11,666638000,"9,155,250,000",2.87682E+11,2.32,2.99,3.01,1.05,312.74,0.07,0.36,2458.21,0.08,0.14,0.13,0.44,0,17,22,12,36,32,24,0.659,3637648.368,79084.52547
533,Mississippi,2016,4770719,5717170,6208259,2234374,9073186,-5400624,4431757,13952286,24751091,11307560,6886235000,17799680000,16833448000,9073186000,966232000,2988726,76627645844,709077000,"5,697,307,000",1.07403E+11,2.14,2.56,2.78,1.06,323.29,-0.04,0.37,3035.8,0.06,0.17,0.16,0.71,0.01,19,29,8,44,47,36,0.659,1969570.434,54531.17601
534,Missouri,2016,4779338,8940620,9025160,2426889,11023289,-4784707,4352780,28906012,41679023,13450178,11419523000,26314870000,25660638000,11023289000,656732000,6093000,1.14E+11,3182984000,"3,546,970,000",2.66406E+11,1.97,3.68,3.72,1.03,107.78,-0.01,0.26,1809.17,0.04,0.1,0.1,0.43,0.01,14,15,26,8,33,15,0.659,4015287,66347.9547
535,Montana,2016,4306642,5222392,5697726,1083359,2342529,-772132,3238487,8099004,11467710,3425888,2345511000,6078227000,5805386000,2342529000,272841000,1042520,23227497409,458429000,"220,753,000",44188348000,3.98,4.82,5.26,1.05,261.71,0.22,0.2,2246.99,0.05,0.14,0.13,0.53,0.01,5,13,14,34,40,16,0.659,687020.68,64318.80333
536,Nebraska,2016,4539008,5940605,6083148,1539630,538447,1056276,3044857,12865535,14893243,2078077,4960943000,8755000000,8808000000,538447000,-27747,1907116,20895152588,0,"34,780,000",94661640000,2.95,3.86,3.95,0.99,-0.01,0.28,0.04,282.34,0.05,0.09,0.09,0.22,0,12,1,37,7,4,1,0.659,1256789.444,75320.20614
537,Nevada,2016,3436844,6236729,6323241,2349230,4988809,-1879271,2258085,5971151,13383903,7338039,5134753000,11281233000,9758203000,4988809000,1530510000,2940058,83921190361,1445333000,"3,186,600,000",1.28294E+11,1.46,2.65,2.69,1.16,520.57,0.03,0.37,1696.84,0.04,0.09,0.08,0.65,0.01,24,16,1,1,45,10,0.659,1937498.222,66216.55883
538,New Hampshire,2016,652697,1271807,2450346,869420,3409802,-1585022,1416594,2540365,6760874,4279222,2334399000,6915074000,6640554000,3409802000,550977000,1334795,20854187491,2138368000,"1,486,235,000",77848085000,0.75,1.46,2.82,1.04,412.78,-0.02,0.5,2554.55,0.03,0.09,0.09,0.27,0.03,36,30,10,3,8,12,0.659,879629.905,88500.95314
539,New Jersey,2016,5879448,15356676,15394946,6296919,169302833,-136955086,7037764,-120310738,43646595,175599752,30463362921,58872700000,66011876047,1.69E+11,-7136481774,8944469,2.73E+11,85424700000,"42,727,114,000",5.54268E+11,0.93,2.44,2.44,0.89,-797.87,-2.98,3.88,18928.22,0.05,0.11,0.12,0.49,0.15,30,50,49,20,38,48,0.659,5894405.071,94032.82847
540,New Mexico,2016,5415102,6826694,7010560,2696674,8276249,-1302807,19628672,25911376,36484419,10972923,5539570000,18604838000,19357914000,8276249000,-1019631000,2081015,64635931073,3805064000,"3,497,735,000",80758305000,2.01,2.53,2.6,0.96,-489.97,0.5,0.23,3977.03,0.07,0.23,0.24,0.8,0.05,21,14,43,50,49,45,0.659,1371388.885,58887.96816
541,New York,2016,25266000,54065000,54565000,35795000,90921000,-45464000,7245000,32764000,157043000,126716000,73322000000,1.7E+11,1.69E+11,90921000000,323000000,19745289,4.22E+11,88504417000,"56,692,000,000",1.19526E+12,0.71,1.51,1.52,1,16.36,-0.24,0.58,4604.69,0.06,0.14,0.14,0.35,0.07,44,39,35,38,23,41,0.659,13012145.45,91857.51424
542,North Carolina,2016,9624183,14721215,15694277,5767834,9522453,4375860,1046109,51374862,66292680,15290287,24947311000,48529379000,43156809000,9522453000,5377288000,10146788,1.32E+11,32467020000,"7,808,030,000",4.26189E+11,1.67,2.55,2.72,1.12,529.95,0.08,0.14,938.47,0.06,0.11,0.1,0.31,0.08,23,8,2,16,14,9,0.659,6686733.292,63736.46404
543,North Dakota,2016,13661476,19431153,19597131,4232386,2659323,7310674,6780538,19546667,26412037,6891709,3319964543,7833354000,7956015634,2659323205,-104196915,757952,12681947796,87700000,"1,894,145,000",41715862000,3.23,4.59,4.63,0.98,-137.47,0.53,0.1,3508.56,0.08,0.19,0.19,0.3,0,8,9,38,49,12,19,0.659,499490.368,83516.84972
544,Ohio,2016,37007894,43666540,45305204,10786711,37669813,-8957457,14175520,29329428,74104992,48456524,25083564000,64858281000,64628256000,37669813000,732611000,11614373,3.89E+11,15142634000,"17,689,412,000",5.21209E+11,3.43,4.05,4.2,1,63.08,0.07,0.51,3243.38,0.05,0.12,0.12,0.75,0.03,9,32,33,25,48,23,0.659,7653871.807,68097.38119
